model,train_error,test_error,epochs,learning_rate
Perceptron,0.02870264064293915,0.03006012024048096,10,0.01
VotedPerceptron,0.011481056257175661,0.014028056112224449,10,0.01
AveragedPerceptron,0.014925373134328358,0.014028056112224449,10,0.01
