w0,w1,w2,w3,w4,model,c
0.5800000000000003,-0.6441996599999986,-0.4580522999999998,-0.364736456,-0.12506151999999998,Perceptron,
0.0,0.0,0.0,0.0,0.0,VotedPerceptron,1
0.01,-0.01005,0.00084831,-0.002462,0.0045688000000000005,VotedPerceptron,6
0.0,0.0012630000000000002,-0.018188689999999997,-0.07780100000000001,-0.0056511999999999995,VotedPerceptron,3
0.01,-0.034418,-0.10031868999999999,0.023028999999999994,0.004025300000000002,VotedPerceptron,12
0.02,-0.073244,-0.05133868999999999,0.013797899999999993,-0.046775699999999996,VotedPerceptron,12
0.01,-0.0765364,-0.006786689999999998,-0.0319201,-0.036887699999999995,VotedPerceptron,8
0.0,-0.085218,-0.10921569,-0.017008099999999998,0.003194300000000011,VotedPerceptron,4
0.01,-0.119142,-0.07565169000000001,-0.024208499999999997,-0.03203869999999999,VotedPerceptron,2
0.02,-0.1135481,-0.07875569,-0.022377799999999996,-0.02757339999999999,VotedPerceptron,10
0.03,-0.0990471,-0.04268869,-0.0629348,-0.04353939999999999,VotedPerceptron,27
0.04,-0.1350321,-0.17928169,0.11311720000000001,-0.0684664,VotedPerceptron,1
0.03,-0.14073809999999998,-0.17903369,0.10069620000000001,-0.0628454,VotedPerceptron,2
0.019999999999999997,-0.17830809999999997,-0.12479768999999999,0.062441200000000016,-0.0503194,VotedPerceptron,4
0.009999999999999997,-0.18350309999999997,-0.09216469,0.03154620000000001,-0.040470400000000004,VotedPerceptron,4
0.019999999999999997,-0.18148149999999996,-0.07298268999999999,-0.0012817999999999927,-0.04664720000000001,VotedPerceptron,12
0.03,-0.18428299999999997,-0.04225368999999998,-0.03513879999999999,-0.07580220000000001,VotedPerceptron,36
0.04,-0.17373099999999997,-0.030396689999999983,-0.06154979999999999,-0.07469890000000001,VotedPerceptron,3
0.03,-0.17697539999999998,-0.13106668999999999,-0.04956779999999999,-0.03341490000000001,VotedPerceptron,2
0.019999999999999997,-0.19277439999999998,-0.08399068999999998,-0.12875379999999997,-0.01792790000000001,VotedPerceptron,15
0.03,-0.2104874,-0.19165569,-0.026569799999999963,-0.02797090000000001,VotedPerceptron,1
0.04,-0.2747344,-0.09634468999999998,-0.026341359999999963,-0.09648790000000002,VotedPerceptron,2
0.05,-0.2625364,-0.07536268999999998,-0.05829535999999996,-0.09520360000000001,VotedPerceptron,2
0.060000000000000005,-0.2452054,-0.03581868999999998,-0.10570735999999997,-0.12022060000000001,VotedPerceptron,2
0.05,-0.23220539999999998,-0.13849668999999998,-0.07617735999999997,-0.06158260000000001,VotedPerceptron,14
0.060000000000000005,-0.20828839999999998,-0.09293168999999998,-0.12606535999999996,-0.0905696,VotedPerceptron,7
0.07,-0.23667939999999998,-0.15923168999999998,-0.021216359999999962,-0.0947809,VotedPerceptron,13
0.08,-0.23901499999999998,-0.12682668999999996,-0.051885359999999964,-0.1225649,VotedPerceptron,5
0.09,-0.233835,-0.12424018999999996,-0.06029385999999996,-0.1129531,VotedPerceptron,2
0.09999999999999999,-0.22875369999999998,-0.11946028999999996,-0.08009785999999997,-0.1071817,VotedPerceptron,2
0.09,-0.22714289999999998,-0.054836289999999954,-0.16367085999999997,-0.09196570000000001,VotedPerceptron,1
0.09999999999999999,-0.24948289999999998,-0.12515028999999994,-0.08873485999999997,-0.08583230000000001,VotedPerceptron,4
0.10999999999999999,-0.23936589999999996,-0.11612828999999994,-0.11224085999999997,-0.08156090000000002,VotedPerceptron,29
0.09999999999999999,-0.21288689999999996,-0.21750228999999993,-0.09893085999999997,-0.02685390000000002,VotedPerceptron,4
0.10999999999999999,-0.22182779999999996,-0.18551128999999994,-0.11714985999999997,-0.05630590000000002,VotedPerceptron,2
0.11999999999999998,-0.21215699999999996,-0.14708528999999992,-0.16646385999999996,-0.09762890000000002,VotedPerceptron,11
0.10999999999999999,-0.21544899999999995,-0.10253328999999993,-0.21218185999999994,-0.08774090000000001,VotedPerceptron,4
0.09999999999999999,-0.19686499999999996,-0.18139328999999993,-0.19553885999999995,-0.06935690000000001,VotedPerceptron,10
0.10999999999999999,-0.20344169999999995,-0.20941128999999992,-0.15842385999999994,-0.05938300000000001,VotedPerceptron,8
0.11999999999999998,-0.19280469999999994,-0.1724542899999999,-0.20001785999999994,-0.07876200000000001,VotedPerceptron,1
0.12999999999999998,-0.20842569999999994,-0.1945752899999999,-0.15742685999999995,-0.07596480000000001,VotedPerceptron,28
0.13999999999999999,-0.18811569999999994,-0.1760552899999999,-0.18754785999999996,-0.07593477000000001,VotedPerceptron,23
0.15,-0.23188869999999995,-0.23122228999999989,-0.07815785999999995,-0.08001677000000001,VotedPerceptron,9
0.16,-0.23260372999999995,-0.19381028999999989,-0.12357285999999995,-0.12254277000000002,VotedPerceptron,8
0.17,-0.21770772999999996,-0.1595222899999999,-0.16388185999999993,-0.13680177000000002,VotedPerceptron,17
0.16,-0.20983872999999997,-0.2551852899999999,-0.12601485999999992,-0.061767770000000013,VotedPerceptron,10
0.15,-0.22988973,-0.1865472899999999,-0.20733485999999993,-0.05936677000000001,VotedPerceptron,10
0.16,-0.20971272999999999,-0.1685652899999999,-0.23691585999999992,-0.05726777000000001,VotedPerceptron,11
0.17,-0.23938473,-0.3014342899999999,-0.10218885999999991,-0.08353877000000001,VotedPerceptron,1
0.18000000000000002,-0.24706413,-0.26683628999999986,-0.1365938599999999,-0.11781477000000001,VotedPerceptron,13
0.17,-0.26603113,-0.24167328999999987,-0.1646868599999999,-0.10984057000000001,VotedPerceptron,1
0.16,-0.27532813,-0.20370228999999987,-0.2111158599999999,-0.10688357000000001,VotedPerceptron,8
0.15,-0.28052313,-0.17106928999999987,-0.2420108599999999,-0.09703457000000001,VotedPerceptron,13
0.16,-0.28751103,-0.20484028999999987,-0.2007998599999999,-0.08199157000000001,VotedPerceptron,29
0.17,-0.27071203,-0.16277228999999988,-0.2461978599999999,-0.10592257000000002,VotedPerceptron,3
0.18000000000000002,-0.30213502999999997,-0.2931372899999999,-0.08942485999999988,-0.11253907000000002,VotedPerceptron,2
0.19000000000000003,-0.28861703,-0.28254228999999986,-0.11286185999999988,-0.10853927000000002,VotedPerceptron,25
0.20000000000000004,-0.34743503,-0.20595828999999988,-0.10730385999999989,-0.13769427000000004,VotedPerceptron,54
0.21000000000000005,-0.33153102999999995,-0.18383728999999988,-0.13848685999999988,-0.13886677000000003,VotedPerceptron,123
0.20000000000000004,-0.32366202999999993,-0.2795002899999999,-0.10061985999999987,-0.06383277000000002,VotedPerceptron,12
0.19000000000000003,-0.32885672999999993,-0.24686728999999988,-0.13151485999999987,-0.05398357000000002,VotedPerceptron,9
0.20000000000000004,-0.3198160299999999,-0.2131592899999999,-0.17650185999999987,-0.09094857000000002,VotedPerceptron,30
0.21000000000000005,-0.2978730299999999,-0.16765628999999987,-0.22626185999999987,-0.11820257000000002,VotedPerceptron,52
0.22000000000000006,-0.3117600299999999,-0.21642928999999989,-0.16148785999999987,-0.11478467000000002,VotedPerceptron,16
0.23000000000000007,-0.2938850299999999,-0.16862928999999988,-0.21284985999999986,-0.14714667000000003,VotedPerceptron,50
0.22000000000000006,-0.2674060299999999,-0.2700032899999999,-0.19953985999999987,-0.09243967000000003,VotedPerceptron,7
0.21000000000000005,-0.2726010299999999,-0.2373702899999999,-0.23043485999999988,-0.08259067000000003,VotedPerceptron,249
0.22000000000000006,-0.2506580299999999,-0.1918672899999999,-0.2801948599999999,-0.10984467000000003,VotedPerceptron,18
0.23000000000000007,-0.26884502999999993,-0.2822332899999999,-0.1900328599999999,-0.11106897000000003,VotedPerceptron,30
0.24000000000000007,-0.25303502999999994,-0.2735423899999999,-0.21317085999999988,-0.10282777000000003,VotedPerceptron,4
0.23000000000000007,-0.26233202999999994,-0.2355713899999999,-0.2595998599999999,-0.09987077000000003,VotedPerceptron,9
0.24000000000000007,-0.29319802999999994,-0.3019333899999999,-0.1541948599999999,-0.10878897000000003,VotedPerceptron,44
