t,train_error,test_error
1,0.11922384476895379,0.1248249649929986
2,0.4110822164432887,0.40568113622724544
3,0.1970394078815763,0.20304060812162433
4,0.10882176435287057,0.11662332466493298
5,0.8807761552310462,0.8751750350070014
6,0.1840368073614723,0.1912382476495299
7,0.41928385677135427,0.40708141628325667
8,0.8055611122224445,0.8005601120224045
9,0.21464292858571715,0.22004400880176037
10,0.7759551910382076,0.7747549509901981
11,0.4264852970594119,0.44288857771554313
12,0.10882176435287057,0.11662332466493298
13,0.4110822164432887,0.40568113622724544
14,0.5713142628525705,0.5675135027005401
15,0.11922384476895379,0.1248249649929986
16,0.7371474294858972,0.7383476695339067
17,0.21604320864172835,0.21784356871374275
18,0.40368073614722944,0.40408081616323266
19,0.7749549909981996,0.7717543508701741
20,0.6199239847969594,0.6143228645729146
21,0.10882176435287057,0.11662332466493298
22,0.7395479095819164,0.7359471894378876
23,0.5937187437487498,0.5933186637327466
24,0.3462692538507702,0.35907181436287255
25,0.6931386277255451,0.6873374674934987
26,0.6009201840368074,0.592118423684737
27,0.47649529905981197,0.46929385877175434
28,0.16783356671334268,0.17163432686537308
29,0.7371474294858972,0.7383476695339067
30,0.22904580916183237,0.23144628925785157
31,0.5807161432286457,0.5929185837167433
32,0.6199239847969594,0.6143228645729146
33,0.10882176435287057,0.11662332466493298
34,0.7659531906381276,0.7619523904780956
35,0.36027205441088217,0.368873774754951
36,0.49049809961992397,0.5159031806361273
37,0.7749549909981996,0.7717543508701741
38,0.3700740148029606,0.3596719343868774
39,0.7371474294858972,0.7383476695339067
40,0.28005601120224044,0.27285457091418286
41,0.41128225645129024,0.40888177635527106
42,0.3462692538507702,0.35907181436287255
43,0.6771354270854171,0.6695339067813563
44,0.10882176435287057,0.11662332466493298
45,0.6009201840368074,0.592118423684737
46,0.6075215043008602,0.6197239447889578
47,0.6199239847969594,0.6143228645729146
48,0.11922384476895379,0.1248249649929986
49,0.4110822164432887,0.40568113622724544
50,0.21864372874574914,0.21624324864972994
51,0.8637727545509102,0.8615723144628926
52,0.541508301660332,0.5291058211642329
53,0.11922384476895379,0.1248249649929986
54,0.8637727545509102,0.8615723144628926
55,0.7257451490298059,0.7247449489897979
56,0.5031006201240248,0.498499699939988
57,0.11922384476895379,0.1248249649929986
58,0.7371474294858972,0.7383476695339067
59,0.10882176435287057,0.11662332466493298
60,0.717743548709742,0.7251450290058011
61,0.42468493698739745,0.4196839367873575
62,0.8637727545509102,0.8615723144628926
63,0.5807161432286457,0.5929185837167433
64,0.7749549909981996,0.7717543508701741
65,0.16783356671334268,0.17163432686537308
66,0.5833166633326665,0.5909181836367273
67,0.11922384476895379,0.1248249649929986
68,0.8637727545509102,0.8615723144628926
69,0.11922384476895379,0.1248249649929986
70,0.8637727545509102,0.8615723144628926
71,0.5521104220844169,0.5391078215643129
72,0.3462692538507702,0.35907181436287255
73,0.33546709341868375,0.34086817363472693
74,0.5719143828765754,0.5735147029405882
75,0.8637727545509102,0.8615723144628926
76,0.11922384476895379,0.1248249649929986
77,0.8637727545509102,0.8615723144628926
78,0.11922384476895379,0.1248249649929986
79,0.8637727545509102,0.8615723144628926
80,0.5507101420284057,0.5497099419883977
81,0.11922384476895379,0.1248249649929986
82,0.8637727545509102,0.8615723144628926
83,0.39607921584316863,0.39847969593918786
84,0.4960992198439688,0.498499699939988
85,0.6199239847969594,0.6143228645729146
86,0.10882176435287057,0.11662332466493298
87,0.6665333066613323,0.6595319063812762
88,0.8637727545509102,0.8615723144628926
89,0.21684336867373474,0.21544308861772354
90,0.8637727545509102,0.8615723144628926
91,0.5091018203640728,0.5171034206841368
92,0.7749549909981996,0.7717543508701741
93,0.11922384476895379,0.1248249649929986
94,0.7371474294858972,0.7383476695339067
95,0.20944188837767552,0.21044208841768353
96,0.751750350070014,0.7543508701740348
97,0.11922384476895379,0.1248249649929986
98,0.8637727545509102,0.8615723144628926
99,0.11922384476895379,0.1248249649929986
100,0.8637727545509102,0.8615723144628926
101,0.1904380876175235,0.1930386077215443
102,0.8487697539507901,0.8471694338867773
103,0.11922384476895379,0.1248249649929986
104,0.8637727545509102,0.8615723144628926
105,0.6865373074614923,0.6815363072614523
106,0.20844168833766755,0.21824364872974594
107,0.5969193838767753,0.5825165033006602
108,0.11922384476895379,0.1248249649929986
109,0.8637727545509102,0.8615723144628926
110,0.369873974794959,0.381876375275055
111,0.6199239847969594,0.6143228645729146
