t,train_error,test_error
1,0.0,0.0
2,0.2892168929969956,0.41526616995428667
3,0.3370565971283145,0.2079437129673991
4,0.4262068536396302,0.12414208426090412
5,0.43597888104626004,0.8709907388801064
6,0.44420211875165466,0.19735248151258353
7,0.3914507465200335,0.42248961634243104
8,0.4645045521721359,0.8015617850117229
9,0.4622968142678156,0.23211026108178162
10,0.4391763459613237,0.7660079350971387
11,0.44386113587927656,0.4364550669786671
12,0.4556405317113782,0.12688567132879366
13,0.43101505325654005,0.41644119433932086
14,0.4511512809802912,0.5508302891820442
15,0.4705178481241517,0.13015401548332134
16,0.4602980810687606,0.7450142992222198
17,0.4473428853225156,0.22489848235929538
18,0.44452188589272135,0.40909800930572326
19,0.47450461291366625,0.7649415607798773
20,0.46985523846089083,0.6113345429499871
21,0.45911026220706275,0.12717663464865325
22,0.469779462757708,0.7308597707617095
23,0.4712041165266265,0.5938790510816099
24,0.4619565530668635,0.34402887394801396
25,0.47130064300959806,0.6847820215311365
26,0.4741842506660938,0.5944099898030621
27,0.46710281137253595,0.462510882143643
28,0.4646899839634162,0.1888346916269603
29,0.4801177825301923,0.7438441860466065
30,0.47750057300489757,0.23455271854300383
31,0.4710658771740627,0.5771640795607406
32,0.47558063021062735,0.6128222551578072
33,0.4787076665006809,0.12662313707292866
34,0.48293769574304035,0.757396786955245
35,0.48570878524287453,0.38149248989461815
36,0.4798792592982326,0.5040250347473354
37,0.4907121412975569,0.7660447171267317
38,0.4837184538003242,0.36552427276630955
39,0.4897976711367004,0.7449566826835543
40,0.4884475067950134,0.28029425241946726
41,0.4910305350809177,0.40660054697912884
42,0.4854389244311443,0.344832427490708
43,0.4911878160375529,0.663290720353963
44,0.49205147093394513,0.12656562449697073
45,0.4859626555760539,0.5937809102639666
46,0.49431665040364686,0.5923406176133176
47,0.4913818431845891,0.6121331149983749
48,0.49192178568362865,0.12828113586575202
49,0.4893787026687097,0.41595336443419617
50,0.49167531207696674,0.2200248990657609
51,0.4963111807296402,0.8578561023097189
52,0.49585694700084537,0.5334972373539912
53,0.497572487556589,0.12854789315500936
54,0.4973047440989562,0.8579418527788132
55,0.4942610101236985,0.7046476271065165
56,0.48953900655944177,0.48773493364537857
57,0.4924752686618292,0.12847758452821412
58,0.4928127709663003,0.7460898159287119
59,0.4915424003386637,0.12625739159693783
60,0.49480978477047066,0.7089328550867395
61,0.4935593989875483,0.41750419743321776
62,0.49760040091431446,0.8580512589504214
63,0.48976813839494476,0.5797023820649037
64,0.4953579323681856,0.7671452642371155
65,0.49365606220929903,0.18907324926170793
66,0.4955861008114681,0.5899025908479503
67,0.49866195876812736,0.12861209608961333
68,0.4977557593656713,0.8579858459208185
69,0.4978191647594954,0.12861675393272465
70,0.49788073847565534,0.8579832954893879
71,0.49629297240053627,0.5431758630526197
72,0.4946884456178155,0.3457455503773308
73,0.4957623360007666,0.3341472645178877
74,0.4951499245192231,0.5643825293110724
75,0.49887128123873237,0.8581724098524688
76,0.49805322132595453,0.12848091038108847
77,0.49810799687301954,0.8581622741234591
78,0.49816120489849247,0.1284859499189697
79,0.49821289240651745,0.8581601039923996
80,0.4963255378077585,0.5581771680146017
81,0.49816921476878334,0.12850353449212365
82,0.49826156330742166,0.8580610572944529
83,0.4967662375131526,0.40161790553866966
84,0.4967090115158188,0.5065246712895723
85,0.49352657700401953,0.6114398397486078
86,0.4942317965107514,0.12613175700121995
87,0.4969039849992468,0.6527323112603194
88,0.49859200009796206,0.8581459001797069
89,0.4963912552156587,0.22073703381651893
90,0.4973483519702111,0.8581978953004996
91,0.4974666085072942,0.502033112284594
92,0.4969993844070943,0.7675264175506964
93,0.49644679856216045,0.1283611194918163
94,0.4958825692418317,0.7463012717892252
95,0.4950297391291977,0.21642538177822676
96,0.495654138753041,0.7401760098376187
97,0.49731534436754954,0.12834645032659855
98,0.4986341911334091,0.8582508173887098
99,0.49867231168109005,0.12835173575303369
100,0.4987093591609957,0.858248990507072
101,0.49726233450626744,0.19959102902929562
102,0.4976071671430362,0.8371931310933622
103,0.4986392213848905,0.1283606046029853
104,0.49878794077503025,0.8582329409504733
105,0.49558530513208104,0.6752188322115406
106,0.4970543039111307,0.2183887484064824
107,0.4981769882433451,0.5821984387475829
108,0.4991970905696934,0.1282448034466551
109,0.49884013693381213,0.8583182513508327
110,0.4973680753136074,0.3914922797742518
111,0.4955669921071654,0.6113639856937123
112,0.4971567608576511,0.12585720091911565
113,0.4969333119347829,0.7675371655318588
114,0.49796463971141147,0.27307238869542505
115,0.4985238887512292,0.4558242085385859
116,0.4994334876512169,0.12823321567987728
117,0.4989544271698756,0.8583373489285521
118,0.49662757145919756,0.4160624663015989
119,0.49633794436629625,0.12956267958889664
120,0.4981080772244811,0.8582835067497254
121,0.4985060856201901,0.36504527466634884
122,0.49590265104207865,0.4612427346855595
123,0.49872041208702445,0.33643330505961966
124,0.4975866164658598,0.31079476889684493
125,0.49805403119070324,0.662781797977268
126,0.49877332289772724,0.769743039669381
127,0.49857134103984324,0.746510196034416
128,0.4977633420234653,0.12831197642333309
129,0.4988310181476262,0.7589778083595926
130,0.4983224612495337,0.7406361741617749
131,0.4972472804676643,0.1295539458333154
132,0.4980675589423176,0.8372772510923256
133,0.4966228077110475,0.5800041836125731
134,0.4977799270499883,0.6113438703580685
135,0.4966806998696239,0.22003584534888782
136,0.49936904725488174,0.8583900554253462
137,0.49926234100514416,0.12827936159703232
138,0.4992828639443007,0.858387698862058
139,0.4988443868068969,0.3812651235397725
140,0.4994463235536825,0.1282803757180091
141,0.49931802870744035,0.8583795110078412
142,0.49909036383182565,0.5512799864540208
143,0.49920121626325076,0.12590058261079373
144,0.4988491315784772,0.7696529408553943
145,0.4992795815745763,0.1282658591983496
146,0.49935161976462294,0.8583943784837632
147,0.49916191616560746,0.2694188931853758
148,0.49833238701918703,0.7465677781644116
149,0.49864038868051463,0.1282860603278303
150,0.49921896681081324,0.7353764331927902
