,Batch Gradient Descent,Stochastic Gradient Descent,Analytical Regressor
w1,-0.022064731912249738,0.002633174175073191,-0.022001177795821614
w2,0.9946395947873207,0.028551917791867627,0.9982996183159984
w3,0.8942921310961424,-0.05037540063810175,0.8980783858487892
w4,0.9532324490092582,-0.0638488862730376,0.9573046872661956
w5,1.3792953545949587,0.12206010863268967,1.3822251334534563
w6,0.12805172484567717,-0.02114824113942354,0.1286407118004834
w7,1.6888433375039533,0.0006187177338420146,1.6937471873844532
w8,1.0968790479990758,0.005838062522898018,1.1006170780088713
