model,n_iter,train_error,test_error
Stochastic Gradient Descent,52,69.02743002496736,87.9759933841657
Batch Gradient Descent,53,1037.9504748647362,1031.7264250559974
Stochastic Gradient Descent,53,67.07450142545383,86.28671009448279
Batch Gradient Descent,54,1032.6429385689962,1026.4904220491492
Stochastic Gradient Descent,54,63.99094279878578,83.67090955548478
Batch Gradient Descent,55,1027.3640638941408,1021.282926127575
Stochastic Gradient Descent,55,64.35510714172679,83.97539501292212
Batch Gradient Descent,56,1022.1136960474732,1016.1037827039905
Stochastic Gradient Descent,56,61.99559623815595,82.04528516620024
Batch Gradient Descent,57,1016.8916810722858,1010.9528380276887
Stochastic Gradient Descent,57,61.90821359008309,81.9744927039644
Batch Gradient Descent,58,1011.6978658433442,1005.8299391800165
Stochastic Gradient Descent,58,62.94143153301061,82.81613147988708
Batch Gradient Descent,59,1006.5320980623972,1000.7349340698756
Stochastic Gradient Descent,59,63.82354386639214,83.54187288268653
Batch Gradient Descent,60,1001.3942262537095,995.6676714292496
Stochastic Gradient Descent,60,65.53674925045814,84.97430668980664
Batch Gradient Descent,61,996.2840997596219,990.6280008087549
Stochastic Gradient Descent,61,64.76257799959102,84.32407430704433
Batch Gradient Descent,62,991.2015687361303,985.6157725732128
Stochastic Gradient Descent,62,65.39532047291826,84.8553441814588
Batch Gradient Descent,63,986.1464841484935,980.6308378972494
Stochastic Gradient Descent,63,59.472903978056074,80.0071917320601
Batch Gradient Descent,64,981.1186977668615,975.6730487609176
Stochastic Gradient Descent,64,57.69272379806424,78.6832073189831
Batch Gradient Descent,65,976.1180621619286,970.7422579453423
Stochastic Gradient Descent,65,56.712882098426405,78.03102928108055
Batch Gradient Descent,66,971.1444307006104,965.8383190283887
Stochastic Gradient Descent,66,55.29050709089613,77.27900183127758
Batch Gradient Descent,67,966.1976575417435,960.9610863803567
Stochastic Gradient Descent,67,55.46342844970248,77.34040549509638
Batch Gradient Descent,68,961.2775976318085,956.110415159695
Stochastic Gradient Descent,68,55.31109922203176,77.2837656962565
Batch Gradient Descent,69,956.3841067006756,951.2861613087421
Stochastic Gradient Descent,69,54.82742869194537,77.22716025506999
Batch Gradient Descent,70,951.5170412573749,946.4881815494853
Stochastic Gradient Descent,70,55.99692634268944,77.48895826504307
Batch Gradient Descent,71,946.6762585858875,941.7163333793495
Stochastic Gradient Descent,71,55.855618803073575,77.41452249619506
Batch Gradient Descent,72,941.8616167409601,936.9704750670012
Stochastic Gradient Descent,72,55.73403312519536,77.35057152789007
Batch Gradient Descent,73,937.0729745439438,932.2504656481818
Stochastic Gradient Descent,73,56.01448372008446,77.50218799389351
Batch Gradient Descent,74,932.3101915786523,927.5561649215581
Stochastic Gradient Descent,74,56.91247770495275,78.04696776411367
Batch Gradient Descent,75,927.5731281872437,922.8874334445987
Stochastic Gradient Descent,75,57.824185036152144,78.66351390299623
Batch Gradient Descent,76,922.8616454661275,918.2441325294727
Stochastic Gradient Descent,76,56.63630559631033,77.86573668513022
Batch Gradient Descent,77,918.1756052618878,913.6261242389671
Stochastic Gradient Descent,77,55.77650186160728,77.35150329528739
Batch Gradient Descent,78,913.5148701672349,909.0332713824304
Stochastic Gradient Descent,78,56.391816601066985,77.69913256948597
Batch Gradient Descent,79,908.8793035169731,904.4654375117356
Stochastic Gradient Descent,79,57.24903344659308,78.24661596628182
Batch Gradient Descent,80,904.2687693839949,899.9224869172654
Stochastic Gradient Descent,80,56.68484492055765,77.87874868528351
Batch Gradient Descent,81,899.6831325752935,895.4042846239204
Stochastic Gradient Descent,81,57.00179854349897,78.08499200242903
Batch Gradient Descent,82,895.1222586279985,890.9106963871476
Stochastic Gradient Descent,82,56.31258844992951,77.64082848367194
Batch Gradient Descent,83,890.5860138054331,886.4415886889899
Stochastic Gradient Descent,83,57.3993222842966,78.34395932928946
Batch Gradient Descent,84,886.0742650931918,881.9968287341585
Stochastic Gradient Descent,84,58.35901139134442,79.02666208141154
Batch Gradient Descent,85,881.5868801952389,877.5762844461251
Stochastic Gradient Descent,85,57.98655553499867,78.75379536893199
Batch Gradient Descent,86,877.1237275300307,873.179824463237
