train_error,test_error,epoch,hidden_size,n_hidden
0.6989201029100733,0.6969650334414971,1,5,2
0.7028609460287543,0.7033725483422061,2,5,2
0.686138967153448,0.6849693537116586,3,5,2
0.6798428182297132,0.6786637241522163,4,5,2
0.6548738823366206,0.6529930770231149,5,5,2
0.5578572740687209,0.5551491522828378,6,5,2
0.3816482726016342,0.38031174317105515,7,5,2
0.2506884417882748,0.2508558792834685,8,5,2
0.17811944642586056,0.17889166337806067,9,5,2
0.13752096461106764,0.13905347085447417,10,5,2
0.11251521879668988,0.11405439140386169,11,5,2
0.09625818437818318,0.09777865952425513,12,5,2
0.0851352098871666,0.0863407993264591,13,5,2
0.07806758683255353,0.08111640193187665,14,5,2
0.07098293195969861,0.0718752364561218,15,5,2
0.06626218398225703,0.06705501158666315,16,5,2
0.06190934204727036,0.06384962010387119,17,5,2
0.05873273150204247,0.060038841463671354,18,5,2
0.056021861968977134,0.05780828839870287,19,5,2
0.05375779661809307,0.05526319510759262,20,5,2
0.05185145688612954,0.05399358136101574,21,5,2
0.05038938984371853,0.05128241058217353,22,5,2
0.04896113961051278,0.05174482832967846,23,5,2
0.04733178576537604,0.048839892036133405,24,5,2
0.04625101434342675,0.047426537407449634,25,5,2
0.04567389353984862,0.04884402069762618,26,5,2
0.044126771490283136,0.0460065852940372,27,5,2
0.04326505005128248,0.044869432550791344,28,5,2
0.04255486119096853,0.04373079436750387,29,5,2
0.04176035145732769,0.04399498698204201,30,5,2
0.04097479238830723,0.04288030099136713,31,5,2
0.04031551391865909,0.042553374690147486,32,5,2
0.03948191095669925,0.04140501904293752,33,5,2
0.038882792088294565,0.039686782545611254,34,5,2
0.037897142684889605,0.03912856935459748,35,5,2
0.037070956407112915,0.03857782140727214,36,5,2
0.03632937532707223,0.0381399105556899,37,5,2
0.03557903924526088,0.03732223937443778,38,5,2
0.034948352310703125,0.03700534070109075,39,5,2
0.03424724343202108,0.03614377145808317,40,5,2
0.03357437766761802,0.03492796907704539,41,5,2
0.033036974129633134,0.03499047861512926,42,5,2
0.03251350642203462,0.033435186603490576,43,5,2
0.031909968069458665,0.0330956102531865,44,5,2
0.03142424218207898,0.03248806711322303,45,5,2
0.03091923640376861,0.03208464442457975,46,5,2
0.030481411299780995,0.03157966290589412,47,5,2
0.030015252301534998,0.0313556527427414,48,5,2
0.029641932353501026,0.030697518509974583,49,5,2
0.029275982009284236,0.030245643975755028,50,5,2
0.028950611780500235,0.029799306820610973,51,5,2
0.02848778607311161,0.030050575959956603,52,5,2
0.028276321081190183,0.02906341349593116,53,5,2
0.02788589419778787,0.028807903175170187,54,5,2
0.02750218525393441,0.02873981918932717,55,5,2
0.02719678573314452,0.028570026377367046,56,5,2
0.026924853341243934,0.02806446527017015,57,5,2
0.026628486666483934,0.02801564618682775,58,5,2
0.02639099206806525,0.027439185023577135,59,5,2
0.026110088412640658,0.02731325745425137,60,5,2
0.02585514542884764,0.02716374548314519,61,5,2
0.02561931276670637,0.02708191765292627,62,5,2
0.02538458494920947,0.02662128137431293,63,5,2
0.02517864292339379,0.026241968167433093,64,5,2
0.02494858403594515,0.026097172489621217,65,5,2
0.024748799391533894,0.025812976204615604,66,5,2
0.024526753434570295,0.02583552236464079,67,5,2
0.024342596275223876,0.025427784006427968,68,5,2
0.024145303939267733,0.025279437334422936,69,5,2
0.02397782188929744,0.02558083989834239,70,5,2
